"1","美国","US","http://123.59.15.61/country/US.jpg","100","1"
"2","加拿大","Canada","http://123.59.15.61/country/Canada.jpg","70","1"
"3","墨西哥","Mexico","http://123.59.15.61/country/Mexico.jpg","55","1"
"4","古巴","Cuba","http://123.59.15.61/country/Cuba.jpg","30","1"
"5","巴西","Brazil","http://123.59.15.61/country/Brazil.jpg","60","2"
"6","哥伦比亚","Colombia","http://123.59.15.61/country/Colombia.jpg","35","2"
"7","阿根廷","Argentina","http://123.59.15.61/country/Argentina.jpg","50","2"
"8","委内瑞拉","Venezuela","http://123.59.15.61/country/Venezuela.jpg","50","2"
"9","智利","Chile","http://123.59.15.61/country/Chile.jpg","40","2"
"10","秘鲁","Peru","http://123.59.15.61/country/Peru.jpg","45","2"
"11","英国","UK","http://123.59.15.61/country/UK.jpg","90","3"
"12","法国","France","http://123.59.15.61/country/France.jpg","88","3"
"13","希腊","Greece","http://123.59.15.61/country/Greece.jpg","80","3"
"14","意大利","Italy","http://123.59.15.61/country/Italy.jpg","72","3"
"15","德国","Germany","http://123.59.15.61/country/Germany.jpg","82","3"
"16","西班牙","Spain","http://123.59.15.61/country/Spain.jpg","75","3"
"17","葡萄牙","Portuguese","http://123.59.15.61/country/Portuguese.jpg","40","3"
"18","荷兰","Netherland","http://123.59.15.61/country/Netherland.jpg","65","3"
"19","瑞士","Swizerland","http://123.59.15.61/country/Swizerland.jpg","66","3"
"20","瑞典","Sweden","http://123.59.15.61/country/Sweden.jpg","55","3"
"21","挪威","Norway","http://123.59.15.61/country/Norway.jpg","52","3"
"22","波兰","Poland","http://123.59.15.61/country/Poland.jpg","58","3"
"23","比利时","Belgium","http://123.59.15.61/country/Belgium.jpg","63","3"
"24","奥地利","Austria","http://123.59.15.61/country/Austria.jpg","64","3"
"25","丹麦","Denmark","http://123.59.15.61/country/Denmark.jpg","61","3"
"26","芬兰","Finland","http://123.59.15.61/country/Finland.jpg","54","3"
"27","爱尔兰","Ireland","http://123.59.15.61/country/Ireland.jpg","66","3"
"28","捷克","Czech","http://123.59.15.61/country/Czech.jpg","57","3"
"29","立陶宛","Lithuania","http://123.59.15.61/country/Lithuania.jpg","51","3"
"30","保加利亚","Bulgaria","http://123.59.15.61/country/Bulgaria.jpg","43","3"
"31","俄罗斯","Russia","http://123.59.15.61/country/Russia.jpg","77","3"
"32","乌克兰","Ukraine","http://123.59.15.61/country/Ukraine.jpg","68","3"
"33","日本","Japan","http://123.59.15.61/country/Japan.jpg","95","4"
"34","韩国","Korea","http://123.59.15.61/country/Korea.jpg","82","4"
"35","印度","India","http://123.59.15.61/country/India.jpg","83","4"
"36","印尼","Indonesia","http://123.59.15.61/country/Indonesia.jpg","67","4"
"37","泰国","Thailand","http://123.59.15.61/country/Thailand.jpg","72","4"
"38","马来西亚","Malaysia","http://123.59.15.61/country/Malaysia.jpg","73","4"
"39","新加坡","Singapore","http://123.59.15.61/country/Singapore.jpg","71","4"
"40","菲律宾","Phillipine","http://123.59.15.61/country/Phillipine.jpg","65","4"
"41","巴基斯坦","Pakistan","http://123.59.15.61/country/Pakistan.jpg","63","4"
"42","越南","Vietnam","http://123.59.15.61/country/Vietnam.jpg","59","4"
"43","缅甸","Myanmar","http://123.59.15.61/country/Myanmar.jpg","66","4"
"44","哈萨克斯坦","Kazakhstan","http://123.59.15.61/country/Kazakhstan.jpg","55","4"
"45","伊朗","Iran","http://123.59.15.61/country/Iran.jpg","65","4"
"46","沙特阿拉伯","Saudi Arabia","http://123.59.15.61/country/Saudi Arabia.jpg","45","4"
"47","以色列","Israel","http://123.59.15.61/country/Israel.jpg","71","4"
"48","伊拉克","Iraq","http://123.59.15.61/country/Iraq.jpg","57","4"
"49","土耳其","Turkey","http://123.59.15.61/country/Turkey.jpg","62","4"
"50","埃及","Egypt","http://123.59.15.61/country/Egypt.jpg","61","5"
"51","南非","South Africa","http://123.59.15.61/country/South Africa.jpg","52","5"
"52","尼日利亚","Nigeria","http://123.59.15.61/country/Nigeria.jpg","35","5"
"53","赞比亚","Zambia","http://123.59.15.61/country/Zambia.jpg","38","5"
"54","澳大利亚","Australia","http://123.59.15.61/country/Australia.jpg","69","6"
"55","新西兰","New Zealand","http://123.59.15.61/country/New Zealand.jpg","60","6"
